'C-K-RAS	KRAS
TCF7L1	TCF7L1
TCF7L2	TCF7L2
TCGF	IL2
TCL1	TCL1A
TCL1A	TCL1A
TCL1C	MTCP1
TCL3	TLX1
TCL5	TAL1
TCPTP	PTPN2
TCS1	TERT
TCS2	POLR1D
TCS3	POLR1C
TCS4	POLR1B
TCTEX6	POLR1H
TDD5	NDRG1
TDRD14A	KDM4A
TDRD14C	KDM4C
TEAD-1	TEAD1
TEAD-2	TEAD2
TEAD-3	TEAD3
TEAD1	TEAD1
TEAD2	TEAD2
TEAD3	TEAD3
TEAD4	TEAD4
TEAD5	TEAD3
TEBIVANED4	H4C9
TEBP	NKX2-1
TEF-1	TEAD1
TEF-3	TEAD4
TEF-4	TEAD2
TEF-5	TEAD3
TEF1	USP7
TEF4	TEAD2
TEF5	TEAD3
TEFR-1	TEAD4
TEK	TEK
TEL	ETV6
TEL-2	ETV7
TEL/ABL	ETV6
TEL1	ATM
TEL2	ETV7
TELB	ETV7
TELO1	ATM
TEM	CYLD
TENT5C	TENT5C
TEP1	PTEN
TER	TERC
TERC	TERC
TERT	TERT
TES-56	TBR1
TET1	TET1
TET2	TET2
TETRASPAN	TSPAN4
TEVANED4	H4C9
TEX6	POLR1H
TF	F3
TF1A	TRIM24
TF1B	TRIM28
TF1G	TRIM33
TF2S	TCEA1
TF6	TFG
TFA	F3
TFE3	TFE3
TFEA	TFE3
TFG	TFG
TFIIS	TCEA1
TFM	AR
TFPT	TFPT
TFR	TFRC
TFR1	TFRC
TFRC	TFRC
TGF-beta1	TGFB1
TGF-beta2	TGFB2
TGF-beta3	TGFB3
TGFB	TGFB1
TGFB1	TGFB1
TGFB2	TGFB2
TGFB3	TGFB3
TGFBR1	TGFBR1
TGFBR2	TGFBR2
TGFR-1	TGFBR1
TGFR-2	TGFBR2
TGFbeta	TGFB1
TGFbeta-RII	TGFBR2
THC	WAS
THC1	WAS
THC2	ANKRD26
THC5	ETV6
THC6	SRC
THC9	THPO
THCYT1	THPO
THCYT2	MPL
THP1	GLI2
THP2	GLI2
THPO	THPO
THPOR	MPL
THRAP3	THRAP3
TIE-2	TEK
TIE2	TEK
TIF1	TRIM24
TIF1A	TRIM24
TIF1ALPHA	TRIM24
TIF1B	TRIM28
TIF1G	TRIM33
TIF1GAMMA	TRIM33
TIF1beta	TRIM28
TIF2	NCOA2
TIFGAMMA	TRIM33
TIM3	HAVCR2
TIM4	TIMD4
TIMD-3	HAVCR2
TIMD3	HAVCR2
TIMD4	TIMD4
TIN1	TNKS
TIN2	TINF2
TINF1	TNKS
TINF2	TINF2
TINT1	ACD
TIP-3	SOCS1
TIP21	ZBTB7A
TIP27	JAZF1
TIP3	SOCS1
TIP39	SIX1
TIPARP	TIPARP
TITF1	NKX2-1
TK14	FGFR2
TK25	FGFR2
TKF	FGFR4
TKR1	ERBB2
TKT	DDR2
TL2	TNFSF10
TLS	FUS
TLX1	TLX1
TLX3	TLX3
TM	MCL1
TM-5	TPM3
TM-PAP	ACP3
TM3	TPM3
TM30	TPM3
TM30nm	TPM3
TM4SF7	TSPAN4
TM5	TPM3
TMEM127	TMEM127
TMEM173	STING1
TMPRSS2	TMPRSS2
TMS	TYMS
TNFA1P2	TNFAIP3
TNFAIP3	TNFAIP3
TNFRSF13A	TNFRSF17
TNFRSF14	TNFRSF14
TNFRSF17	TNFRSF17
TNFRSF4	TNFRSF4
TNFRSF5	CD40
TNFRSF6	FAS
TNFRSF7	CD27
TNFRSF8	TNFRSF8
TNFSF10	TNFSF10
TNFSF4	TNFSF4
TNFSF6	FASLG
TNFSF7	CD70
TNKL	TNKS2
TNKS	TNKS
TNKS1	TNKS
TNKS2	TNKS2
TNLG1A	FASLG
TNLG2B	TNFSF4
TNLG6A	TNFSF10
TNLG8A	CD70
TNRC1	ZNF384
TNRC11	MED12
TNRC14	NCOR2
TNRC21	KMT2D
TOC	RHBDF2
TOCG	RHBDF2
TOP1	TOP1
TOP2	TOP2A
TOP2A	TOP2A
TOP2alpha	TOP2A
TOPI	TOP1
TOPIIA	TOP2A
TORC-1	CRTC1
TORC-3	CRTC3
TORC1	CRTC1
TORC3	CRTC3
TOT1	ELP1
TP15	CDKN2B
TP16	CDKN2A
TP2	TERT
TP2A	TOP2A
TP41	CD7
TP53	TP53
TP53CP	TP63
TP53L	TP63
TP63	TP63
TP73L	TP63
TPC	CCDC6
TPDS1	BAP1
TPDS3	POT1
TPDS4	CHEK2
TPM3	TPM3
TPM3nu	TPM3
TPM4	TPM4
TPMT	TPMT
TPMTD	TPMT
TPMsk3	TPM3
TPO	THPO
TPOR	MPL
TPP1	ACD
TPR	TPR
TPRC	PRCC
TPT	SHH
TPTPS	SHH
TR2	TNFRSF14
TRA1	HSP90B1
TRAC-1	NCOR2
TRAD	RAD51D
TRAFIP10	ZMIZ1
TRAIL	TNFSF10
TRAP-1	TRAP1
TRAP1	TRAP1
TRAP150	THRAP3
TRAP2	PSMD2
TRAP230	MED12
TRC3	TERC
TRE17	USP6
TRE2	USP6
TRESMCR	USP6
TRFR	TFRC
TRIM19	PML
TRIM24	TRIM24
TRIM27	TRIM27
TRIM28	TRIM28
TRIM33	TRIM33
TRIM37	TRIM37
TRIP-11	TRIP11
TRIP1	PSMC5
TRIP11	TRIP11
TRIP13	TRIP13
TRIP230	TRIP11
TRIS	PRDM10
TRK1	NTRK1
TRKA	NTRK1
TRKB	NTRK2
TRKC	NTRK3
TRKE	DDR1
TRKT3	TFG
TROP1	EPCAM
TROP2	TACSTD2
TRP53	TP53
TRPS2	EXT1
TRT	TERT
TRX1	KMT2A
TRX2	KMT2B
TRX5	NSD2
TS	TYMS
TS11	ASNS
TSBP	CTR9
TSC	TSC1
TSC1	TSC1
TSC2	TSC2
TSC4	TSC2
TSE1	PRKAR1A
TSHR	TSHR
TSLP	TSLP
TSLPR	CRLF2
TSP57	CEP57
TSPAN-4	TSPAN4
TSPAN26	CD37
TSPAN4	TSPAN4
TSPX	TSPYL2
TSPYL2	TSPYL2
TSR-I	ACVRL1
TSRI	ACVR1
TST1	CCDC6
TSTA2	PSMD3
TTD	ERCC2
TTD1	ERCC2
TTD2	ERCC3
TTF	RHOH
TTF-1	NKX2-1
TTF1	NKX2-1
TTG1	LMO1
TTG2	LMO2
TTL	TTL
TTV	EXT1
TUBA1	TUBA4A
TUBA1A	TUBA1A
TUBA1B	TUBA1B
TUBA1C	TUBA1C
TUBA3	TUBA1A
TUBA3C	TUBA3C
TUBA3D	TUBA3D
TUBA3E	TUBA3E
TUBA3FP	LRRC74BNL
TUBA3GP	TUBA3GP
TUBA4	TUBA4B
TUBA4A	TUBA4A
TUBA4B	TUBA4B
TUBA6	TUBA1C
TUBA8	TUBA8
TUBAL2	TUBA8
TUBAL3	TUBAL3
TUBB	TUBB
TUBB-5	TUBB6
TUBB1	TUBB1
TUBB2A	TUBB2A
TUBB2B	TUBB2B
TUBB2C	TUBB4B
TUBB3	TUBB3
TUBB4A	TUBB4A
TUBB4B	TUBB4B
TUBB4Q	TUBB7P
TUBB5	TUBB
TUBB6	TUBB6
TUBB7P	TUBB7P
TUBB8	TUBB8
TUBB8B	TUBB8B
TUBB8P12	TUBB8B
TUBD	TUBD1
TUBD1	TUBD1
TUBE	TUBE1
TUBE1	TUBE1
TUBG	TUBG1
TUBG1	TUBG1
TUBG2	TUBG2
TUBGCP1	TUBG1
TUG	ASPSCR1
TUSC7	TUSC7
TWISTNB	POLR1F
TXGP1	TNFSF4
TXGP1L	TNFRSF4
TYK2	TYK2
TYMS	TYMS
TYRO10	DDR2
TYRO3	TYRO3
TYRO4	EPHA3
Tif	TYRO3
Tim-3	HAVCR2
Tp40	CD7
Tp55	CD27
Tre-2	USP6
Trk-A	NTRK1
Tyro12	MERTK
Tyro7	AXL
U21B31	CCND1
U2AF1	U2AF1
U2AF1-RS2	ZRSR2
U2AF1L2	ZRSR2
U2AF1RS2	ZRSR2
U2AF35	U2AF1
U2AFBP	U2AF1
UBF	UBTF
UBF-1	UBTF
UBF1	UBTF
UBF2	UBTF
UBM2	BAP1
UBR6	FBXO11
UBTF	UBTF
UBXD9	ASPSCR1
UBXN9	ASPSCR1
UCHL2	BAP1
UEF1	SAMD9L
UFO	AXL
UG063H01	FBXO11
UGRP	G6PC3
UKHC	KIF5B
UNC13D	UNC13D
UNC18-2	STXBP2
UNC18B	STXBP2
URP	ZRSR2
US2	USH2A
USB1	USB1
USH2	USH2A
USH2A	USH2A
USHRN	USH2A
USP6	USP6
USP6-short	USP6
USP7	USP7
USPL2	CYLD
UTX	KDM6A
UV-DDB2	DDB2
UV20	ERCC1
UVDR	ERCC5
UVM2	BAP1
UVO	CDH1
VAULT3	PARP4
VDIR	TCF3
VEGF	VEGFA
VEGF-D	VEGFD
VEGFA	VEGFA
VEGFB	VEGFB
VEGFC	VEGFC
VEGFD	VEGFD
VEGFL	VEGFB
VEGFR	KDR
VEGFR-1	FLT1
VEGFR-3	FLT4
VEGFR1	FLT1
VEGFR2	KDR
VEGFR3	FLT4
VF	NAMPT
VHL	VHL
VHL1	VHL
VHX	DUSP22
VIL2	EZR
VIP54	NCKIPSD
VISFATIN	NAMPT
VIT1	FBXO11
VMCM	TEK
VMCM1	TEK
VMLDS1	DCHS1
VMLDS2	FAT4
VPARP	PARP4
VPF	VEGFA
VRF	VEGFB
VRNF	NF1
VRP	VEGFC
VSCM2	MYH11
VSCN1	ERBB3
VSCN2	ERBB2
VTI1A	VTI1A
VTI1RP2	VTI1A
VWA5C	PARP4
Vti1-rp2	VTI1A
WAF1	CDKN1A
WAGR	WT1
WAIT1	EED
WAMTP1	CRTC1
WARTS	LATS1
WAS	WAS
WASLBP	NCKIPSD
WASP	WAS
WASPA	WAS
WAT1	MLST8
WBP-7	KMT2B
WBP7	KMT2B
WBSCR8	CLDN4
WDCP	WDCP
WDR5	WDR5
WDR79	WRAP53
WDSTS	KMT2A
WEE1	WEE1
WEE1A	WEE1
WEE1hu	WEE1
WHIM	CXCR4
WHIMS	CXCR4
WHIMS1	CXCR4
WHS	NSD2
WHSC1	NSD2
WIF-1	WIF1
WIF1	WIF1
WIP1	PPM1D
WISH	NCKIPSD
WIT-2	WT1
WM1	MYD88
WRAP53	WRAP53
WRCN	DDR2
WRN	WRN
WRP	SRGAP3
WS	ELN
WS1	PAX3
WS2	MITF
WS2A	MITF
WS3	PAX3
WSS	NF1
WT-1	WT1
WT1	WT1
WT33	WT1
WT6	REST
WT7	TRIM28
WTS	HDAC8
WTX	AMER1
WVS	EZH2
WVS2	EZH2
WW45	SAV1
WWC1	WWC1
WWP4	SAV1
WWTR1	WWTR1
Willin	FRMD6
XAP-2	AIP
XAP101	DKC1
XAP2	AIP
XAPC7	PSMA7
XBR	REST
XE169	KDM5C
XFEPS	ERCC4
XFIM	ZMYM3
XH2	ATRX
XIAP	XIAP
XLA	BTK
XLANP	GATA1
XLID112	ZMYM3
XLP	SH2D1A
XLP2	XIAP
XLPD	SH2D1A
XLPD1	SH2D1A
XLTDA	GATA1
XLTT	GATA1
XLVD	FLNA
XMVD	FLNA
XNP	ATRX
XP-V	POLH
XP1	XPA
XP3	XPC
XPA	XPA
XPAC	XPA
XPB	ERCC3
XPC	XPC
XPCC	XPC
XPD	ERCC2
XPE	DDB2
XPF	ERCC4
XPG	ERCC5
XPGC	ERCC5
XPO1	XPO1
XPV	POLH
XRCC11	BRCA2
XRCC2	XRCC2
XRCC7	PRKDC
XRCC9	FANCG
Y14	RBM8A
YAF1	HDAC2
YAP	YAP1
YAP-1	YAP1
YAP1	YAP1
YAP2	YAP1
YAP65	YAP1
YEATS1	MLLT1
YEATS3	MLLT3
YKI	YAP1
YKNS	PSMC5
YOTIAO	AKAP9
YSK3	STK4
YT16	LCK
YWHAE	YWHAE
ZAP	ZC3HAV1
ZBTB16	ZBTB16
ZBTB17	ZBTB17
ZBTB19	PATZ1
ZBTB27	BCL6
ZBTB31	MYNN
ZBTB7	ZBTB7A
ZBTB7A	ZBTB7A
ZC2HC6A	KAT6A
ZC2HC6B	KAT6B
ZC3H1	PARP12
ZC3H2	ZC3HAV1
ZC3H22	ZRSR2
ZC3HAV1	ZC3HAV1
ZC3HDC1	PARP12
ZC3HDC2	ZC3HAV1
ZCCHC22	CNBP
ZETA	PSMA5
ZF9	KLF6
ZIC	ZIC1
ZIC1	ZIC1
ZIMP10	ZMIZ1
ZIPZAP	ARID2
ZMIZ1	ZMIZ1
ZMYM2	ZMYM2
ZMYM3	ZMYM3
ZMYND1	SMYD3
ZMYND11	ZMYND11
ZMYND4	CBFA2T3
ZMYND6	EGLN1
ZNF-HX	ATRX
ZNF145	ZBTB16
ZNF151	ZBTB17
ZNF163	GFI1
ZNF163B	GFI1B
ZNF198	ZMYM2
ZNF198L2	ZMYM3
ZNF201	ZIC1
ZNF220	KAT6A
ZNF261	ZMYM3
ZNF278	PATZ1
ZNF331	ZNF331
ZNF361	ZNF331
ZNF384	ZNF384
ZNF463	ZNF331
ZNF51	BCL6
ZNF521	ZNF521
ZNF60	ZBTB17
ZNF802	JAZF1
ZNF856	BCL11A
ZNF856B	BCL11B
ZNF857A	ZBTB7A
ZNF9	CNBP
ZNF902	MYNN
ZNF91	ZNF91
ZNF912	PLAG1
ZNFN1A1	IKZF1
ZNFN3A1	SMYD3
ZNRD1	POLR1H
ZNRP	RBM8A
ZOG	DLK1
ZR14	POLR1H
ZRNP1	RBM8A
ZRSR2	ZRSR2
ZSG	PATZ1
ZYME	BMP4
ag3	CD58
alphaGMR	CSF2RA
altFUS	FUS
amida	TFPT
aph-1beta	APH1B
armadillo	CTNNB1
arpNalpha	ACTL6B
aurkb-sv1	AURKB
aurkb-sv2	AURKB
aurora-C	AURKC
aviD	DICER1
b	ELF2
bA119F19.1	NUTM2B
bA119F7.1	TET1
bA145E8.1	ANKRD26
bA165P4.1	CNTRL
bA375E1.3	SPDEF
bA386N14.2	KDM6A
bA408E5.3	TUBA3C
bA506K6.1	TUBB2B
bA517O1.1	STAG2
bA574F11.2	PDCD1LG2
bA631M21.2	TUBB8
bA74P14.1	SMYD3
bFGF-R-1	FGFR1
bHLHa17	TAL1
bHLHa18	LYL1
bHLHa46	ASCL1
bHLHb20	TCF12
bHLHb21	TCF3
bHLHb25	ID3
bHLHc1	MYOD1
bHLHd4	MAX
bHLHe19	OLIG2
bHLHe2	ARNT
bHLHe32	MITF
bHLHe33	TFE3
bHLHe37	MYCN
bHLHe38	MYCL
bHLHe39	MYC
bHLHe42	NCOA1
bHLHe73	EPAS1
bHLHe74	NCOA1
bHLHe75	NCOA2
bHLHe78	HIF1A
bcl2-L-3	MCL1
bcm948	TUBA1C
bcr/abl	ABL1
beta-4	TUBB3
beta-5	TUBB4A
beta1i	PSMB9
beta2i	PSMB10
c-ABL	ABL1
c-ABL1	ABL1
c-E10	BCL10
c-ERB-2	ERBB2
c-ERB2	ERBB2
c-Eyk	MERTK
c-IAP1	BIRC2
c-IAP2	BIRC3
c-Jun	JUN
c-Ki-ras	KRAS
c-Ki-ras2	KRAS
c-MAF	MAF
c-Met	MET
c-Myc	MYC
c-Raf	RAF1
c-SRC	SRC
c-erbB-3	ERBB3
c-erbB3	ERBB3
c-ets-1	ETS1
c-fgr	FGR
c-mer	MERTK
c-myb	MYB
c-myb_CDS	MYB
c-ros-1	ROS1
c-sis	PDGFB
c-src2	FGR
c14_5320	FRMD6
cADPR1	CD38
cC1qR	CALR
cIAP1	BIRC2
cJUN	JUN
cN-II	NT5C2
cNOS	NOS3
crg-2	CXCL10
cybS	SDHD
dJ1111A8.1	USH2A
dJ142L7.2	TUBE1
dJ353E16.2	MN1
dJ400N23	PATZ1
dJ509I19.2	ECT2L
dJ509I19.3	ECT2L
dJ509I19.5	ECT2L
dJ537F10.1	ROR1
dJ889N15.2	PSMD10
dJ94G16.2	GOPC
delta4	DLL4
eIF-4A-II	EIF4A2
eIF3-gamma	EIF3H
eIF3-p40	EIF3H
eIF4A-II	EIF4A2
eL33	RPL35A
eNOS	NOS3
eS17	RPS17
eS19	RPS19
eS24	RPS24
eS7	RPS7
efg	MYB
emb	XPO1
erbB3-S	ERBB3
erg-3	ERG
exp1	XPO1
gIP-10	CXCL10
gp100	PMEL
gp145(trkC)	NTRK3
gp80	IL6R
hAVO3	RICTOR
hAgo	FBXW7
hBRM	SMARCA2
hBUBR1	BUB1B
hBlm10	PSME4
hCPE-R	CLDN4
hCdc4	FBXW7
hCds1	CHEK2
hClp1	CLP1
hDH V	FUBP1
hDIS3L2	DIS3L2
hELD	ARID1A
hEST2	TERT
hFKH1B	FOXP1
hFat1	FAT1
hFat3	FAT3
hFip1	FIP1L1
hGK-1	KLK2
hHRT1	HEY1
hIAP-3	XIAP
hIAP3	XIAP
hIL-3Ra	IL3RA
hILP2	BIRC8
hK2	KLK2
hK3	KLK3
hKNL-1	KNL1
hLKB1	STK11
hMITA	STING1
hMLH1	MLH1
hMSH2	MSH2
hMpn1	USB1
hN-CoR	NCOR1
hN1	NOTCH1
hN2	NOTCH2
hNbs1	NBN
hOSA1	ARID1A
hPD-1	PDCD1
hPD-L1	CD274
hPD-l	PDCD1
hPER	PER1
hPMS1	PMS1
hRIT1-alpha	BCL11B
hRTEF-1B	TEAD4
hRad50	RAD50
hSDH5	SDHAF2
hSF-1	NR5A1
hSLE1	PDCD1
hSNF2a	SMARCA2
hSNF2b	SMARCA4
hSNFS	SMARCB1
hSTING	STING1
hSpc105	KNL1
hSpred1	SPRED1
hTIF1	TRIM24
hTR	TERC
hTRT	TERT
hTSHR-I	TSHR
hUsb1	USB1
hZR14	POLR1H
hdelta2	DLL4
hdm2	MDM2
hluPGFS	AKR1C3
hscp30	TPM3
huCDC7	CDC7
hucep-6	BAP1
iRhom2	RHBDF2
l-afadin	AFDN
lnc-IL7R	IL7R
lncPSCA	PSCA
lymphokine	IL2
m.HsaI	DNMT1
mE10	BCL10
mENA	EGFR
mGCP	FOLH1
mNADP-IDH	IDH2
mcl1/EAT	MCL1
merlin-1	NF2
mob-1	CXCL10
nPKC-delta	PRKCD
nPKC-epsilon	PRKCE
nPKC-eta	PRKCH
nPKC-iota	PRKCI
nPKC-theta	PRKCQ
p100	NFKB2
p105-Rb	RB1
p110-RB1	RB1
p110-alpha	PIK3CA
p110D	PIK3CD
p110gamma	PIK3CG
p120	RASA1
p120-PI3K	PIK3CG
p120GAP	RASA1
p120RASGAP	RASA1
p125	XPC
p125FAK	PTK2
p140-TrkA	NTRK1
p150TSP	CTR9
p15INK4b	CDKN2B
p160	MSH6
p170	A2ML1
p18	CDKN2C
p18-INK4C	CDKN2C
p180-ErbB3	ERBB3
p180erbB4	ERBB4
p185(erbB2)	ERBB2
p185-Ron	MST1R
p193	PARP4
p200	ARID2
p21CIP1	CDKN1A
p21ras	HRAS
p220	NPAT
p231HBP	SETD2
p27	PSMD9
p27K	PSMA6
p28	PSMD10
p28(GANK)	PSMD10
p300	EP300
p31	PSMD8
p33	CD74
p33(CDK2)	CDK2
p350	PRKDC
p38-2	MAPK11
p38ALPHA	MAPK14
p38Beta	MAPK11
p39	JUN
p39MO15	CDK7
p40.5	PSMD13
p41	MAPK1
p41mapk	MAPK1
p42	PSMC6
p42-MAPK	MAPK1
p42A	PSMD6
p44-ERK1	MAPK3
p44-MAPK	MAPK3
p44.5	PSMD11
p44S10	PSMD6
p45	PSMC5
p45-sErbB3	ERBB3
p45/SUG	PSMC5
p49/p100	NFKB2
p50	CD40
p51	TP63
p53CP	TP63
p53Lyn	LYN
p54	ETS1
p55-Fgr	FGR
p55c-fgr	FGR
p56	PSMC1
p56Lyn	LYN
p56lck	LCK
p57	CDKN1C
p57Kip2	CDKN1C
p58-Fgr	FGR
p58c-fgr	FGR
p59-FYN	FYN
p59Hck	HCK
p60-Src	SRC
p61Hck	HCK
p63	TP63
p64	TCF12
p65	RELA
p67	CD33
p68	DDX5
p70 S6KA	RPS6KB1
p70(S6K)-alpha	RPS6KB1
p70-S6K	RPS6KB1
p70-alpha	RPS6KB1
p72-Syk	SYK
p73H	TP63
p73L	TP63
p85-ALPHA	PIK3R1
p85-BETA	PIK3R2
p85-sErbB3	ERBB3
p85alpha	PIK3R1
p85beta	PIK3R2
p8MTCP1	MTCP1
p90	TFRC
pADPRT-1	PARP1
pADPRT-2	PARP2
pART14	TIPARP
pART15	PARP16
pART16	PARP8
pART17	PARP6
pART5	TNKS
pART6	TNKS2
pART7	PARP15
pART8	PARP14
pCCNE1	CCNE1
pG2	DLK1
pHZ-67	ZBTB17
pRb	RB1
pUB-R5	PSMD4
pVHL	VHL
pasha	DGCR8
pokemon	ZBTB7A
pp10122	STXBP2
pp110	RB1
pp125FAK	PTK2
pp58lck	LCK
pro-NRG3	NRG3
psiNAIP	NAIP
qkf	KAT6B
querkopf	KAT6B
ret-II	GOLGA5
sGP130	IL6ST
sIL-7R	IL7R
skNAC	NACA
spred-1	SPRED1
tal-1	TAL1
tbetaR-I	TGFBR1
tbetaR-II	TGFBR2
tctex-6	POLR1H
tmp494178	CTC1
trk-B	NTRK2
uL5	RPL11
uORF2	PRKCH
ula-1	NAE1
unc-18B	STXBP2
v-abl	ABL1
wts	LATS1
zcytor5	CRLF1
